holeid,este,norte,cota,largo,Proyecto
17SAD-001,2536785.24,6715449.28,1626.94,150,Ayala
18SAD-002,2536776.25,6715395.82,1629.78,154.5,Ayala
18SAD-003,2536835.69,6715405.16,1664.67,126.75,Ayala
18SAD-004,2536834.9,6715404.83,1664.69,126.8,Ayala
18SAD-005,2536832.91,6715404.16,1664.67,155,Ayala
18SAD-006,2536833.27,6715404.01,1664.64,193.5,Ayala
18SAD-007,2536837.77,6715402.02,1664.4,171,Ayala
18SAD-008,2536837.81,6715401.66,1664.57,154.5,Ayala
18SAD-009,2536590.49,6715664.57,1706.78,87,Ayala
18SAD-010,2536592.29,6715659.18,1706.52,72.5,Ayala
18SAD-011,2536592.21,6715658.89,1706.51,162,Ayala
18SAD-012,2536667.12,6715713,1737,285.5,Ayala
18SAD-013,2536667.09,6715713,1737,301,Ayala
18SAD-014,2536667.01,6715713,1737,254.4,Ayala
18SAD-015,2536667.02,6715713,1737,250,Ayala
18SAD-016,2536667.03,6715713,1737,233.5,Ayala
18SAD-017,2536667.04,6715713,1737,250.5,Ayala
18SAD-018,2536667.05,6715713,1737,227.6,Ayala
18SAD-019,2536667.07,6715713,1737,250.5,Ayala
18SAD-020,2536667.08,6715713,1737,250.5,Ayala
19SAR-021,2536189.05,6716184.71,1595.55,200,Ayala
19SAR-022,2536145.35,6715961.44,1575.01,200,Ayala
19SAR-023,2536129.98,6716079.12,1581.47,200,Ayala
19SAR-024,2537022.06,6715156.63,1818.04,350,Ayala
19SAR-025,2537037.88,6715150.43,1818.65,250,Ayala
19SAR-026,2537038.89,6715154.85,1818.12,258,Ayala
19SAT-021,2536674.38,6715718.79,1739.71,53.8,Ayala
20SAR-027,2536142.82,6715971.14,1574.82,200,Ayala
20SAR-028,2536143.33,6715970.69,1574.5,200,Ayala
20SAR-029,2536142.67,6715970.35,1575.06,220,Ayala
20SAT-022,2536612.4,6715770.4,1745.5,26,Ayala
20SAT-023,2536595.5,6715788.8,1737.7,20,Ayala
20SAT-024,2536597.9,6715797.2,1742,21,Ayala
20SAT-025,2536595.4,6715804.6,1749,22,Ayala
20SAT-026,2536657,6715797,1774,20.4,Ayala
20SAT-027,2536675,6715801,1786,21,Ayala
20SAT-028,2536652.46,6715767.26,1748.26,44,Ayala
20SAT-029,2536666,6715758,1759,31.6,Ayala
20SAT-030,2536699,6715791,1770,22,Ayala
20SAT-031,2536670,6715797,1777,27,Ayala
20SAT-032,2536701,6715788,1769,39.5,Ayala
20SAT-033,2536676,6715753,1761,54,Ayala
20SAT-034,2536001,6716065,1629,34,Ayala
20SAT-035,2535957,6716066,1626,33,Ayala
20SAT-036,2536580,6715782,1723,17,Ayala
20SAT-037,2536606,6715753,1726,11.5,Ayala
20SAT-038,2536629,6715741,1720,13,Ayala
20SAT-039,2536823,6715432,1656,13,Ayala
20SAT-040,2537085,6715131,1798,18,Ayala
20SAT-041,2537091,6715116,1788,15,Ayala
20SAT-042,2537080.83,6715174.67,1811,29,Ayala
20SAT-043,2536810,6715441,1643,10,Ayala
20SAT-044,2536815,6715447,1645,10,Ayala
20SAT-045,2536835,6715445,1643,10,Ayala
20SAT-046,2536659,6715806,1786,20,Ayala
20SAT-047,2536651,6715797,1783,7,Ayala
20SAT-048,2536690,6715803,1790,14,Ayala
