HOLEID,ESTE,NORTE,COTA,LARGO,Proyecto
07COR-001,2533978,6716602,2002.785,210,LV
07COR-002,2533978.01,6716602,2002.785,200,LV
07COR-003,2533978.02,6716602,2002.785,204,LV
07COR-004,2533935,6716465,2039.51,216,LV
07COR-005,2533935.01,6716465,2039.51,210,LV
07COR-006,2533935.02,6716465,2039.51,210,LV
07LVR-001,2533930,6716207,2081.121,228,LV
07LVR-002,2533930.01,6716207,2081.121,212,LV
07LVR-003,2533930.02,6716207,2081.121,150,LV
07LVR-004,2533828,6715686,2211.69,216,LV
07LVR-005,2533828.01,6715686,2211.69,216,LV
07LVR-006,2533882,6715908,2156.015,210,LV
07LVR-007,2534219,6716283,2119.478,190,LV
07LVR-008,2533737,6717432,1595.782,188,LV
07LVR-009,2534142,6717392,1539.504,170,LV
07LVR-010,2534415,6717216,1542.686,200,LV
07LVR-011,2534219.01,6716283,2119.478,240,LV
07LVR-012,2533945,6716114,2112.684,212,LV
07LVR-013,2534015,6716432,2058.927,222,LV
07LVR-014,2534015.01,6716432,2058.927,234,LV
07LVR-015,2533614,6717043,1823.135,240,LV
07LVR-016,2533614.01,6717043,1823.135,260,LV
07LVR-017,2533479,6716970,1725.941,240,LV
07LVR-018,2533614.02,6717043,1823.135,186,LV
07LVR-019,2533902,6716427,2037.016,230,LV
07LVR-020,2533902.01,6716427,2037.016,201,LV
07LVR-021,2534041,6716525,2028.493,200,LV
07LVR-022,2533985,6716315,2042.241,220,LV
08LVR-023,2534158.83,6716689.555,1929.428,260,LV
08LVR-024,2534153.056,6716694.895,1926.877,410,LV
08LVR-025,2534150.044,6716689.015,1930.231,254,LV
08LVR-026,2534161.532,6716688.723,1929.229,340,LV
08LVR-027,2534104.417,6716610.062,1969.323,260,LV
08LVR-028,2534103.475,6716612.091,1968.581,256,LV
08LVR-029,2534101.191,6716605.392,1972.786,251,LV
08LVR-030,2534097.612,6716610.449,1969.436,240,LV
08LVR-031,2534013.767,6716638.61,2000.615,257,LV
08LVR-032,2534031.503,6716526.334,2030.884,250,LV
08LVR-033,2534039.029,6716524.937,2028.763,300,LV
08LVR-034,2533888.376,6715915.763,2153.652,383,LV
08LVR-035,2533889.193,6715911.102,2154.081,132,LV
08LVR-036,2533953.512,6716403.767,2070.853,403,LV
08LVR-037,2533933.938,6716198.229,2082.425,300,LV
08LVR-038,2534017.272,6716427.159,2056.278,220,LV
08LVR-039,2533934.86,6716112.385,2108.09,250,LV
09LVD-001,2534153.056,6716694.895,1928.174,212.2,LV
09LVD-002,2534153.066,6716694.895,1928.174,64.3,LV
09LVD-003,2534153.07,6716694.895,1928.174,211.5,LV
09LVD-004,2534153.076,6716694.895,1928.174,200.2,LV
09LVD-005,2534153.08,6716694.895,1928.174,140.1,LV
11LV-001,2534377,6716981,1635,468,LV
11LV-002,2534377.01,6716981,1635,18,LV
11LV-003,2534377.02,6716981,1635,276.7,LV
15LV-004,2534405,6715237,1815,895.4,LV
16LV-086,2534158,6716692,1927,250,LV
16LV-087,2534158.01,6716692,1927,235,LV
16LV-091,2534162.149,6716683.487,1928.213,126.4,LV
16LV-093,2534158.02,6716692,1927,300,LV
16LV-096,2534145,6716652,1951,121.3,LV
16LVR-040,2534015.002,6716637.804,1999.981,198,LV
16LVR-041,2534018.855,6716634.135,1999.909,270,LV
16LVR-042,2534019.845,6716633.625,1999.861,270,LV
16LVR-043,2534015.795,6716638.988,2000.214,350,LV
