HOLEID,ESTE,NORTE,COTA,LARGO,Proyecto
00QDR-043,2536139.51,6713017.55,2459,252,QDD_Main
00QDR-044,2536141.09,6713013.56,2459,244,QDD_Main
00QDR-045,2535985.41,6713122.21,2420,228.3,QDD_Main
00QDR-046,2536045.78,6713134.21,2427.5,270,QDD_Main
00QDR-047,2535864.24,6713049.71,2448.26,310,QDD_Main
00QDR-048,2535863,6713056.4,2447.95,350,QDD_Main
00QDR-049,2535971.27,6713040.63,2480,340,QDD_Main
00QDR-050,2536065.84,6713017.26,2491,310,QDD_Main
00QDR-051,2536125.26,6712906.02,2511,226,QDD_Main
00QDR-052,2535949.22,6712948.55,2545,354,QDD_Main
00QDR-053,2536506.8,6712767.45,2589.38,188,QDD_Main
00QDR-054,2534235.94,6713417.9,2470.5,54,QDD_Main
00QDR-055,2534684.19,6713924.64,2112.9,196,QDD_Main
00QDR-056,2534685.55,6713918.1,2112.9,115,QDD_Main
00QDR-057,2535399.18,6713257.2,2146.24,250,QDD_Main
00QDR-058,2535114.89,6713422.26,2054,100,QDD_Main
04QD-106,2535647.51,6713105.66,2135,124.75,QDD_Main
04QD-107,2535646.66,6713104.6,2138.36,119.8,QDD_Main
04QD-108,2535654.83,6713105.6,2134.5,240.7,QDD_Main
04QD-109,2535656.36,6713107.35,2134.5,227.35,QDD_Main
04QDR-059,2535540.08,6713608.76,1985.75,250,QDD_Main
04QDR-060,2535538.19,6713612.92,1985.75,245.5,QDD_Main
04QDR-061,2535536.69,6713613.76,1985.75,216,QDD_Main
04QDR-062,2534167.69,6714163.6,2102.5,174,QDD_Main
04QDR-063,2534165.44,6714162.79,2102.5,258,QDD_Main
04QDR-064,2534165.5,6714164.35,2102.5,180,QDD_Main
04QDR-065,2534709.32,6713847.42,2111.99,200,QDD_Main
04QDR-066,2535862.66,6713053.06,2448,372,QDD_Main
04QDR-067,2535861.61,6713053.01,2447.99,245,QDD_Main
04QDR-068,2535862.12,6713053.27,2447.98,402,QDD_Main
04QDR-069,2535864.39,6713057.32,2447.94,452,QDD_Main
04QDR-070,2535943.55,6713067.09,2462.1,404,QDD_Main
04QDR-071,2536093.57,6713057.99,2465.82,302,QDD_Main
04QDR-072,2536001.2,6713103.72,2436.5,212,QDD_Main
04QDR-073,2535998.96,6713108.76,2436.5,310,QDD_Main
04QDR-074,2535999.08,6713110.6,2436.5,350,QDD_Main
04QDR-075,2536046.13,6713141.64,2427.5,300,QDD_Main
04QDR-076,2536046.18,6713133.3,2427.5,271,QDD_Main
04QDR-077,2535972.72,6713134.58,2420,319,QDD_Main
04QDR-078,2536047.12,6713141.32,2427.5,300,QDD_Main
04QDR-079,2533843.41,6713761.53,2354.54,274,QDD_Main
04QDR-080,2533844.11,6713759.84,2354.48,276,QDD_Main
04QDR-081,2533806.55,6713724.51,2355.3,306,QDD_Main
04QDR-082,2533802.85,6713719.25,2355.28,270,QDD_Main
04QDR-083,2534289.2,6713566.68,2388.7,206,QDD_Main
04QDR-084,2534295.36,6713573.7,2388.37,230,QDD_Main
04QDR-085,2534698.34,6713857.62,2111.99,200,QDD_Main
04QDR-086,2534697.59,6713898.38,2113.02,150,QDD_Main
04QDR-087,2534687.23,6713950.76,2110,198,QDD_Main
04QDR-088,2534682.1,6713955.94,2109.83,199,QDD_Main
04QDR-089,2534207.6,6714082.05,2105.06,295,QDD_Main
04QDR-090,2534265.79,6714258.44,1973.65,300,QDD_Main
04QDR-091,2534065.88,6714229.3,1997.04,253,QDD_Main
04QDR-092,2535944.33,6713061.42,2462.1,306,QDD_Main
04QDR-093,2536087.12,6713053.86,2466.18,240,QDD_Main
04QDR-094,2536044.03,6713086.45,2457.75,180,QDD_Main
04QDR-095,2535901.66,6713013.3,2481,348,QDD_Main
04QDR-096,2533845.93,6713753.62,2354.74,240,QDD_Main
04QDR-097,2536048.89,6713140.38,2427.5,240,QDD_Main
04QDR-098,2534894.3,6713793.43,2028.5,162,QDD_Main
04QDR-099,2535253.44,6713344.11,2057.76,264,QDD_Main
04QDR-100,2535352.45,6713274.48,2105,200,QDD_Main
04QDR-101,2535463.27,6713324.35,2123.14,156,QDD_Main
04QDR-102,2535448.77,6713248.96,2115.56,199,QDD_Main
04QDR-103,2534350.73,6714049.39,2091.9,186,QDD_Main
04QDR-104,2534317.05,6714041.21,2095.51,198,QDD_Main
04QDR-105,2535593.64,6713558.86,1978,84,QDD_Main
05QD-110,2535658.06,6713108.91,2134.5,40.8,QDD_Main
05QD-111,2535657.16,6713110.04,2134.5,71.75,QDD_Main
05QD-112,2535649.41,6713106.76,2134.5,154.4,QDD_Main
05QD-113,2535627.75,6713157.57,2123,146.75,QDD_Main
05QD-114,2535627.9,6713157.63,2124.17,104.5,QDD_Main
05QD-115,2535630.29,6713156.13,2124.66,225.25,QDD_Main
05QD-116,2535629.79,6713156.08,2126.38,168.15,QDD_Main
05QD-117,2535629.01,6713156.83,2124.59,141.5,QDD_Main
05QD-118,2535627.75,6713157.57,2126.08,89.35,QDD_Main
05QD-119,2535636.56,6713148.75,2125.61,270.15,QDD_Main
05QD-120,2535599.49,6713177.35,2114.79,107.3,QDD_Main
05QD-121,2535596.85,6713177.78,2116.55,92.3,QDD_Main
05QD-122,2535572.28,6713155.45,2107.5,109.3,QDD_Main
05QD-123,2535575.12,6713154.65,2107.5,120.1,QDD_Main
05QD-124,2535573.18,6713148.91,2111,168.55,QDD_Main
05QD-125,2535573.36,6713149.93,2108,138.65,QDD_Main
05QD-126,2535517.89,6713242.4,2075.6,138.2,QDD_Main
05QD-127,2535526.04,6713177.3,2094.02,148.7,QDD_Main
05QD-128,2535525.55,6713177.02,2095.91,124.1,QDD_Main
05QD-129,2535548.59,6713193.28,2088,143.8,QDD_Main
05QD-130,2536070.2,6713018.77,2491,200.2,QDD_Main
05QD-131,2535552.14,6713198.64,2093.32,68.6,QDD_Main
05QD-132,2535865.56,6713049.54,2448.21,279.8,QDD_Main
05QD-133,2535441.93,6713246.41,2118.26,191.2,QDD_Main
05QD-134,2535986.39,6713123.21,2420,349,QDD_Main
05QD-135,2535442.49,6713245.98,2121.74,243.7,QDD_Main
05QD-136,2536054.75,6713157.17,2408.5,310.55,QDD_Main
05QD-137,2535349.71,6713269.88,2106.13,194,QDD_Main
05QD-138,2536353.89,6713096.22,2312,185.3,QDD_Main
05QD-139,2535294.58,6713282.52,2095.63,176.55,QDD_Main
05QD-140,2536395.02,6713113.73,2310,280.85,QDD_Main
05QD-141,2535241.44,6713298.43,2077.14,138.7,QDD_Main
05QD-142,2535123.61,6713361.99,2063.8,188.1,QDD_Main
05QD-143,2535187.26,6713345.21,2066.04,280.8,QDD_Main
05QD-144,2535861.75,6713057.93,2448,352.2,QDD_Main
05QD-145,2535116.68,6713364.76,2063.82,176.7,QDD_Main
05QD-146,2535999.25,6713103.89,2436.5,345.8,QDD_Main
05QD-147,2535446.33,6713244.86,2116.34,221.1,QDD_Main
05QD-148,2536047.27,6713138.15,2428,267.4,QDD_Main
05QD-149,2535294.81,6713283.68,2092.71,193.1,QDD_Main
05QD-150,2535974.67,6713131.91,2420,237.5,QDD_Main
05QD-151,2535187.52,6713345.38,2065.19,292.45,QDD_Main
05QD-153,2535231.62,6713298.37,2078.77,234.95,QDD_Main
05QD-155,2535120.62,6713362.29,2063.8,347.35,QDD_Main
05QD-156,2535003.04,6713492.73,2028.2,288.6,QDD_Main
05QD-158,2535004.54,6713489.53,2030.96,367.7,QDD_Main
05QD-159,2534929.07,6713581.6,2037.85,322.5,QDD_Main
05QD-160,2535119.7,6713362.37,2066.51,250.2,QDD_Main
05QD-161,2535241.91,6713296.42,2079.24,178.9,QDD_Main
05QD-162,2535872.25,6713113.26,2408,472,QDD_Main
05QD-163,2535241.86,6713297.01,2074.7,196.8,QDD_Main
05QD-164,2535350.3,6713268.91,2108.61,191.6,QDD_Main
05QD-165,2535349.85,6713271.37,2106.25,206.2,QDD_Main
05QD-170,2535871.17,6713119.53,2408,423.3,QDD_Main
05QD-171,2535447.36,6713242.32,2118.86,22.6,QDD_Main
05QD-172,2535447.71,6713243.61,2116.59,251.2,QDD_Main
05QD-173,2535526.05,6713177.65,2091.42,140,QDD_Main
05QD-174,2535526.27,6713177.32,2092.94,181.5,QDD_Main
05QD-175,2535526.2,6713177.15,2096.89,95.5,QDD_Main
05QD-179,2534802.48,6713823.27,2033.06,133.3,QDD_Main
05QD-180,2534800.12,6713835.97,2033.18,131.5,QDD_Main
05QD-183,2535873.34,6713119.49,2408,350.5,QDD_Main
05QD-185,2534399.01,6713958.04,2080,60.85,QDD_Main
05QD-188,2534317.91,6714043.18,2095.51,119.1,QDD_Main
05QD-193,2534212.04,6714081.31,2105.04,191.2,QDD_Main
05QD-195,2535874.33,6713114.85,2408,291.7,QDD_Main
05QD-200,2535879.09,6713109.92,2408,145,QDD_Main
05QD-201,2536050.76,6713150.56,2409.45,178.3,QDD_Main
05QD-202,2534210.51,6714065.14,2109.37,219.2,QDD_Main
