HOLEID,ESTE,NORTE,COTA,LARGO,Proyecto
09-S-01,2534333.02,6724894,1536.23,,Salamanca
09-S-02,2534333.01,6724894,1536.23,,Salamanca
09-S-03,2534333.03,6724894,1536.23,,Salamanca
09-S-04,2534333.04,6724894,1536.23,,Salamanca
09-S-05,2534594.05,6724491,1610,,Salamanca
09-S-06,2534328.3,6724900.94,1536.21,,Salamanca
09-S-07,2534328.45,6724901.26,1536.23,,Salamanca
09-S-08,2534327.18,6724902.29,1536.35,,Salamanca
09-S-09,2534470.31,6724830.93,1554.42,,Salamanca
09-S-10,2534474.02,6724823,1554.5,,Salamanca
09-S-11,2534470.67,6724829.19,1554.47,,Salamanca
09-S-12,2534474.03,6724823,1554.5,,Salamanca
09-S-13,2534474.04,6724823,1554.5,,Salamanca
09-S-14,2534474.01,6724823,1554.5,,Salamanca
09-S-15,2534594.06,6724491,1610,,Salamanca
09-S-16,2534141.01,6725191,1572,,Salamanca
09-S-17,2534141,6725191,1572,,Salamanca
09-S-18,2534474,6724823,1557,,Salamanca
09-S-19,2534277.01,6725085,1548,,Salamanca
09-S-20,2534277,6725085,1548,,Salamanca
10-S-21,2534434.22,6724895.19,1532.91,,Salamanca
10-S-22,2534434.06,6724896.47,1531.92,,Salamanca
10-S-24,2534432.8,6724897.22,1531.68,,Salamanca
10-S-25,2534429.73,6724898.48,1531.72,,Salamanca
10-S-26,2534426.86,6724899.98,1532.07,,Salamanca
10-S-27,2534425.93,6724899.66,1532.4,,Salamanca
10-S-28,2534425,6724898.93,1534.45,,Salamanca
10-S-29,2534425.21,6724901.01,1531.88,,Salamanca
10-S-30,2534325.89,6725001.34,1534.19,,Salamanca
10-S-31,2534325.46,6725001.31,1534.19,,Salamanca
10-S-32,2534328.7,6724996.93,1534.44,,Salamanca
10-S-33,2534327.53,6724998.62,1534.26,,Salamanca
10-S-34,2534324.44,6725006.4,1534.29,,Salamanca
10-S-35,2534324.02,6725006.74,1534.16,,Salamanca
19SALR-036,2534625.68,6724582.18,1611.5,,Salamanca
19SALR-037,2534615.42,6724579.02,1611.76,,Salamanca
19SALR-038,2534615.59,6724578.13,1611.84,,Salamanca
19SALR-039,2534525.57,6724764.68,1570.2,,Salamanca
19SALR-040,2534382.71,6724791.28,1568.89,,Salamanca
19SALR-041,2534381.15,6724787.06,1569.16,,Salamanca
19SALR-042,2534371.7,6724789.89,1568.96,,Salamanca
19SALR-043,2534119.03,6725259.29,1584.61,,Salamanca
19SALR-044,2534122.59,6725255.49,1584.41,,Salamanca
19SALR-045,2534227,6725114.78,1550.92,,Salamanca
19SALR-046,2534227.38,6725116.94,1551.11,,Salamanca
19SALR-047,2534228.33,6725111.24,1550.69,,Salamanca
19SALR-048,2534414.75,6724367.72,1656.71,,Salamanca
19SALR-049,2534431.73,6724467.53,1657.53,,Salamanca
20SALR-050,2534601.07,6724704.21,1568.58,,Salamanca
20SALR-051,2534600.27,6724707.05,1568.5,,Salamanca
20SALR-052,2534598.09,6724707.61,1568.6,,Salamanca
20SALR-053,2534479.66,6724835.11,1546.82,,Salamanca
20SALR-054,2534482.76,6724833.14,1547.21,,Salamanca
20SALR-055,2534427.64,6724909.22,1526.8,,Salamanca
20SALR-056,2534308.46,6725154.42,1532.8,,Salamanca
20SALR-057,2534134.93,6725199.65,1569.96,,Salamanca
20SALR-058,2534134.8,6725203.58,1569.93,,Salamanca
20SALR-059,2534132.61,6725202.32,1570.04,,Salamanca
20SALR-060,2534132.87,6725205.96,1570,,Salamanca
20SALR-061,2534240.61,6725366.95,1537.82,,Salamanca
20SALR-062,2534237.26,6725375.33,1538.08,,Salamanca
H-19,2534364.53,6724915.7,1528,,Salamanca
H-20,2534364.52,6724915.7,1528,,Salamanca
H-21,2534364.51,6724915.7,1528,,Salamanca
S-05-001,2534519,6724773,1575.66,,Salamanca
S-05-002,2534287,6725073,1547.83,,Salamanca
S-05-003,2534325,6725224,1521.07,,Salamanca
S-05-004,2534169,6725464,1558.14,,Salamanca
S-05-005,2534146,6725769,1540.36,,Salamanca
S96-1,2534364.5,6724915.7,1528,,Salamanca
S96-2,2534371.5,6724915.9,1525.02,,Salamanca
S96-3,2534586.2,6724788,1545.57,,Salamanca
S96-4,2534408.41,6724932.65,1519.39,,Salamanca
S96-5,2534474,6724831.8,1554,,Salamanca
S96-6,2534263.4,6725363.5,1528.03,,Salamanca
S96-6A,2534263.2,6725364.9,1527.97,,Salamanca
S96-7,2534403.61,6725069.44,1514.89,,Salamanca
S97-1,2534587.53,6724495.05,1614.5,,Salamanca
S97-2,2534280.55,6725136.11,1543.03,,Salamanca
S97-3,2534442,6724898,1531.63,,Salamanca
S97-3A,2534443,6724897,1532.39,,Salamanca
S97-4,2534328.45,6724901.26,1536.23,,Salamanca
S97-5,2534474,6724832,1554,,Salamanca
S97-6,2534305,6725319,1520.58,,Salamanca
S97-7,2534194,6725511,1555.56,,Salamanca
