HOLEID,AZIMUT,INCLIN,PROF
09-S-09,273.500,-66.000,0.000
09-S-09,273.600,-66.000,50.000
09-S-09,273.600,-65.800,100.000
09-S-09,273.600,-65.900,150.000
09-S-09,273.800,-65.900,200.000
09-S-09,273.700,-65.900,250.000
09-S-09,273.800,-66.000,300.000
09-S-09,273.700,-65.800,350.000
09-S-01,8.100,-61.600,0.000
09-S-01,8.100,-61.600,96.000
09-S-01,8.000,-61.700,106.000
09-S-01,8.000,-61.900,116.000
09-S-02,8.300,-31.300,0.000
09-S-02,8.300,-31.300,5.000
09-S-02,8.200,-31.300,8.000
09-S-02,8.300,-31.300,11.000
09-S-02,8.200,-31.300,14.000
09-S-02,8.500,-31.300,17.000
09-S-02,8.300,-31.300,20.000
09-S-02,8.200,-31.300,23.000
09-S-02,8.300,-31.300,26.000
09-S-02,8.200,-31.300,29.000
09-S-02,8.300,-31.300,32.000
09-S-02,8.200,-31.300,35.000
09-S-02,8.300,-31.300,38.000
09-S-02,8.200,-31.300,41.000
09-S-02,8.200,-31.300,44.000
09-S-02,8.300,-31.300,47.000
09-S-02,8.200,-31.300,50.000
09-S-02,8.300,-31.300,53.000
09-S-02,8.300,-31.300,56.000
09-S-02,8.300,-31.300,59.000
09-S-02,8.300,-31.300,62.000
09-S-02,8.200,-31.300,65.000
09-S-02,8.300,-31.300,68.000
09-S-02,8.300,-31.300,71.000
09-S-02,8.300,-31.300,74.000
09-S-02,8.200,-31.300,77.000
09-S-02,8.300,-31.300,80.000
09-S-02,8.300,-31.300,83.000
09-S-02,8.300,-31.300,86.000
09-S-02,8.000,-31.300,89.000
09-S-02,8.000,-31.200,92.000
09-S-02,8.100,-31.400,95.000
09-S-02,8.200,-31.400,98.000
09-S-02,8.100,-31.300,101.000
09-S-02,8.100,-31.300,104.000
09-S-03,347.800,-60.500,0.000
09-S-03,347.800,-60.500,10.000
09-S-04,324.700,-75.400,0.000
09-S-04,324.700,-75.400,10.000
09-S-05,284.100,-28.200,0.000
09-S-05,284.100,-28.200,128.000
09-S-05,282.700,-28.200,138.000
09-S-05,281.500,-28.400,148.000
09-S-05,281.400,-28.500,158.000
